Subject,Level,TrialNo,Pred,Early.Late,Right.Wrong,Length,SoundFile,QuLength,CharacterLength,QuOnset,QuOffset,Response Onset,RT.s,QuLength.ms,CharacterLength.ms,QuOnset.ms,QuOffset.ms,ResponseOnset.ms,RT.ms,Response,Accuracy,Comments
5,Beach,15,Pred,late,right,Short,po_late_t,2.21460022,0.396681957,3.669737315,5.884337535,6.479776079,0.595438545,2214.60022,396.6819571,3669.737315,5884.337535,6479.776079,595.4385448,y,1,NA
5,Beach,16,Pred,early,right,Short,jake_early_t,2.516715309,0.736252957,3.725863097,6.242578406,6.703657193,0.461078786,2516.715309,736.2529575,3725.863097,6242.578406,6703.657193,461.0787865,y,1,NA
5,Beach,17,Pred,early,wrong,Long,firemansam_early_t,3.094348969,0.643209759,3.709489552,6.80383852,7.257351363,0.453512843,3094.348969,643.209759,3709.489552,6803.83852,7257.351363,453.5128425,n,1,NA
5,Beach,18,Pred,late,wrong,Short,belle_late_t,2.317987846,0.424385048,3.734952933,6.052940779,6.658758256,0.605817477,2317.987846,424.3850482,3734.952933,6052.940779,6658.758256,605.8174768,n,1,NA
5,Beach,19,Pred,late,right,Long,firemansam_late_t,2.959190693,0.868586916,3.725382937,6.68457363,7.114112392,0.429538761,2959.190693,868.5869156,3725.382937,6684.57363,7114.112392,429.5387611,y,1,NA
5,Beach,20,Pred,early,right,Long,mummypig_early_t,2.738123096,0.644304223,3.744960874,6.48308397,6.91920514,0.43612117,2738.123096,644.3042228,3744.960874,6483.08397,6919.20514,436.1211698,y,1,NA
5,Beach,21,Pred,late,right,Short,skye_late_t,2.39592187,0.56971903,3.67059562,6.06651749,6.734957965,0.668440475,2395.92187,569.71903,3670.59562,6066.51749,6734.957965,668.4404751,y,1,NA
5,Beach,22,Pred,early,wrong,Short,po_early_t,2.423004532,0.675116934,3.630071356,6.053075887,6.498955701,0.445879813,2423.004532,675.1169339,3630.071356,6053.075887,6498.955701,445.8798131,n,1,NA
5,Beach,23,Pred,early,wrong,Short,skye_early_t,2.655690941,0.708612807,3.705778371,6.361469312,6.840074973,0.478605661,2655.690941,708.612807,3705.778371,6361.469312,6840.074973,478.605661,n,1,NA
5,Beach,24,Pred,late,wrong,Short,jake_late_t,2.339456653,0.532662028,3.701304853,6.040761506,7.234448986,1.193687481,2339.456653,532.6620279,3701.304853,6040.761506,7234.448986,1193.687481,n,1,NA
5,Boat,1,Pred,late,wrong,Short,ben late t,2.23509274,0.409267869,3.754322933,5.989415672,6.377387759,0.387972087,2235.09274,409.2678689,3754.322933,5989.415672,6377.387759,387.9720868,n,1,NA
5,Boat,2,Pred,early,right,Short,mike early t ,2.35647823,0.682778888,3.675575294,6.032053524,6.304966948,0.272913424,2356.47823,682.7788879,3675.575294,6032.053524,6304.966948,272.9134235,y,1,NA
5,Boat,3,Pred,early,wrong,Long,postmanpat early_t,2.795583226,0.959352493,3.721745224,6.51732845,6.733359154,0.216030704,2795.583226,959.3524932,3721.745224,6517.32845,6733.359154,216.0307043,n,1,NA
5,Boat,4,Pred,late,wrong,Short,tom late_t,2.347614517,0.425129558,3.682202244,6.029816761,6.365426067,0.335609305,2347.614517,425.1295579,3682.202244,6029.816761,6365.426067,335.6093052,n,1,NA
5,Boat,5,Pred,early,right,Long,suzysheep early_t,2.654352107,0.613470761,3.707329025,6.361681132,6.548431876,0.186750744,2654.352107,613.470761,3707.329025,6361.681132,6548.431876,186.7507442,y,1,NA
5,Boat,6,Pred,late,right,Short,george late t,2.556251172,0.672387998,3.704922568,6.261173741,6.509671816,0.248498076,2556.251172,672.387998,3704.922568,6261.173741,6509.671816,248.498076,y,1,NA
5,Boat,7,Pred,late,wrong,Long,peppapig late t,2.451394528,0.702174755,3.710961272,6.1623558,6.510888822,0.348533022,2451.394528,702.1747548,3710.961272,6162.3558,6510.888822,348.5330219,n,1,NA
5,Boat,8,Pred,early,wrong,Long,bobthebuilder early t,2.771003899,0.703840225,3.728520541,6.49952444,6.603209643,0.103685203,2771.003899,703.8402254,3728.520541,6499.52444,6603.209643,103.6852031,n,1,NA
5,Boat,9,Pred,late,right,Long,bobthebuilder late_t,2.848867466,0.901207566,5.02109285,7.869960317,8.051290016,0.1813297,2848.867466,901.2075663,5021.09285,7869.960317,8051.290016,181.3296997,y,1,NA
5,Boat,10,Pred,early,wrong,Short,george early_t,2.294703376,0.63729721,3.69043899,5.985142366,6.201852839,0.216710473,2294.703376,637.2972098,3690.43899,5985.142366,6201.852839,216.710473,n,1,NA
5,Boat,11,Pred,early,right,Long,peppapig early_t,2.736596685,0.656570193,3.668968009,6.405564695,6.657701604,0.252136909,2736.596685,656.5701928,3668.968009,6405.564695,6657.701604,252.136909,y,1,NA
5,Boat,12,Pred,early,wrong,Long,winniethepooh early_t,2.63895471,0.650165007,3.689413304,6.328368014,6.492133784,0.16376577,2638.95471,650.165007,3689.413304,6328.368014,6492.133784,163.7657696,n,1,NA
5,Boat,13,Pred,late,wrong,Short,mike late_t,2.428055177,0.604764456,3.670627738,6.098682914,6.418023138,0.319340223,2428.055177,604.7644558,3670.627738,6098.682914,6418.023138,319.3402233,n,1,NA
5,Boat,14,Pred,late,right,Short,buzz late_t,2.387394418,0.533221727,3.759666632,6.14706105,6.299588703,0.152527653,2387.394418,533.2217272,3759.666632,6147.06105,6299.588703,152.5276535,y,1,NA
5,Boat,15,Pred,late,wrong,Long,nannyplum late t,2.659222106,0.864297731,3.673663516,6.332885622,6.615677911,0.282792289,2659.222106,864.2977311,3673.663516,6332.885622,6615.677911,282.7922891,n,1,NA
5,Boat,16,Pred,late,right,Long,postmanpat ;ate t,2.784457226,0.589854269,3.681702846,6.466160072,6.688192529,0.222032458,2784.457226,589.8542686,3681.702846,6466.160072,6688.192529,222.0324577,y,1,NA
5,Boat,17,Pred,early,wrong,Short,spot early t,2.437989794,0.639548567,3.708565274,6.146555068,6.330811604,0.184256536,2437.989794,639.5485665,3708.565274,6146.555068,6330.811604,184.2565359,n,1,NA
5,Boat,18,Pred,early,right,Long,nannyplum early t,2.815834329,0.64123263,3.680474209,6.496308538,6.647428037,0.151119499,2815.834329,641.2326296,3680.474209,6496.308538,6647.428037,151.1194991,y,1,NA
5,Boat,19,Pred,early,right,Short,tom early t,2.175063169,0.631699173,3.703146064,5.878209233,6.175737254,0.297528021,2175.063169,631.6991729,3703.146064,5878.209233,6175.737254,297.5280206,y,1,NA
